english	finnish	category
dog	koira	animal
horse	hevonen	animal
duck	ankka	animal
eagle	kotka	animal
cat	kissa	animal
lion	leijona	animal
mouse	hiiri	animal
bear	karhu	animal
wolf	susi	animal
sheep	lammas	animal
back	selkä	body
arm	käsi	body
eye	silmä	body
leg	jalka	body
ear	korva	body
mouth	suu	body
toe	varvas	body
finger	sormi	body
nose	nenä	body
lips	huulet	body
church	kirkko	building
road	tie	building
factory	tehdas	building
castle	linna	building
bridge	silta	building
prison	vankila	building
tower	torni	building
library	kirjasto	building
museum	museo	building
temple	temppeli	building
king	kuningas	human
soldier	sotilas	human
policeofficer	poliisi	human
prisoner	vanki	human
priest	pappi	human
teacher	opettaja	human
medicaldoctor	lääkäri	human
judge	tuomari	human
child	lapsi	human
fire	tuli	nature
river	joki	nature
island	saari	nature
sea	meri	nature
park	puisto	nature
mountain	vuori	nature
rock	kallio	nature
wave	aalto	nature
cloud	pilvi	nature
nest	pesä	nature
book	kirja	tool
ball	pallo	tool
saw	saha	tool
ring	sormus	tool
scissors	sakset	tool
drill	pora	tool
spoon	lusikka	tool
shovel	lapio	tool
comb	kampa	tool
car	auto	vehicle
cause/ideology	aate	abstract_high
timing	ajoitus	abstract_high
estimate	arvio	abstract_high
advantage	etu	abstract_high
history	historia	abstract_high
age	ikä	abstract_high
phenomenon	ilmiö	abstract_high
inflation	inflaatio	abstract_high
beauty	kauneus	abstract_high
destiny	kohtalo	abstract_high
experience	kokemus	abstract_high
logic	logiikka	abstract_high
reputation	maine	abstract_high
merit	meriitti	abstract_high
meaning	merkitys	abstract_high
change	muutos	abstract_high
number	määrä	abstract_high
youth	nuoruus	abstract_high
problem	ongelma	abstract_high
freedom	vapaus	abstract_high
money	raha	abstract_high
dispute	demokratia	abstract_high
investment	sijoitus	abstract_high
will	tahto	abstract_high
spell	taika	abstract_high
break	tauko	abstract_high
power	teho	abstract_high
information	tieto	abstract_high
power	valta	abstract_high
sense	järki	abstract_high
morning	aamu	abstract_mid
army	armeija	abstract_mid
bacteria	bakteeri	abstract_mid
oxygen	happi	abstract_mid
price	hinta	abstract_mid
expression	ilme	abstract_mid
evening	ilta	abstract_mid
infection	infektio	abstract_mid
internet	internet	abstract_mid
team	joukkue	abstract_mid
friction	kitka	abstract_mid
size	koko	abstract_mid
song	laulu	abstract_mid
play	leikki	abstract_mid
attachment	liite	abstract_mid
nature	luonto	abstract_mid
entry	merkintä	abstract_mid
hunting	metsästys	abstract_mid
music	musiikki	abstract_mid
play	näytelmä	abstract_mid
pressure	paine	abstract_mid
weigth	paino	abstract_mid
speech	puhe	abstract_mid
eruption	purkaus	abstract_mid
poem	runo	abstract_mid
background	tausta	abstract_mid
piece/work	teos	abstract_mid
proof	todiste	abstract_mid
gene	geeni	abstract_mid
